vehicle_id,manufacturer,model,battery_capacity_kwh,usable_capacity_kwh,max_charging_power_kw,consumption_kwh_per_100km,arrival_hour,departure_hour,initial_soc,daily_distance_km,energy_needed_kwh,target_soc
EV_001,Opel,Corsa-e,50.0,46.3,11.0,15.3,9.0,17.22,0.294,59.7,9.14,0.591
EV_002,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,10.0,17.31,0.4,36.1,5.59,0.598
EV_003,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.92,16.45,0.515,41.4,6.42,0.728
EV_004,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.58,17.54,0.44,43.6,6.76,0.658
EV_005,Opel,Corsa-e,50.0,46.3,11.0,15.3,7.59,15.0,0.32,72.0,11.01,0.658
EV_006,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.27,17.45,0.716,55.3,8.47,0.9
EV_007,Opel,Corsa-e,50.0,46.3,11.0,15.3,7.9,19.39,0.464,54.4,8.32,0.744
EV_008,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.86,19.76,0.304,55.6,7.78,0.552
EV_009,Kia,EV6 LR,77.4,74.0,11.0,16.8,9.32,15.06,0.528,53.1,8.93,0.749
EV_010,Opel,Corsa-e,50.0,46.3,11.0,15.3,6.54,15.0,0.756,34.3,5.25,0.9
EV_011,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.49,15.0,0.414,61.6,9.55,0.682
EV_012,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.96,15.0,0.378,60.8,8.52,0.64
EV_013,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.82,18.72,0.663,65.5,9.17,0.9
EV_014,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,9.43,17.92,0.749,59.0,8.25,0.9
EV_015,Opel,Corsa-e,50.0,46.3,11.0,15.3,6.99,19.7,0.395,47.3,7.24,0.652
EV_016,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.09,15.0,0.537,59.6,9.11,0.834
EV_017,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.86,16.21,0.663,55.4,8.48,0.9
EV_018,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,10.0,17.2,0.321,35.5,5.51,0.518
EV_019,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.08,19.58,0.35,63.6,8.9,0.619
EV_020,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.52,15.0,0.766,52.9,8.09,0.9
EV_021,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.69,16.5,0.682,63.7,9.88,0.9
EV_022,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.83,19.43,0.395,46.9,7.17,0.649
EV_023,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.19,18.85,0.456,46.2,7.15,0.682
EV_024,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.13,15.0,0.299,34.7,5.31,0.514
EV_025,Kia,EV6 LR,77.4,74.0,11.0,16.8,7.08,16.66,0.766,44.9,7.54,0.9
EV_026,Kia,EV6 LR,77.4,74.0,11.0,16.8,7.7,18.1,0.442,28.1,4.72,0.606
EV_027,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,8.48,15.0,0.222,33.9,4.75,0.413
